id,name
c5itLCslJVB55y41bdPL,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
dtC0JMUxIdkeZFaFe5Qa,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
hgcVUkA86a0z6MU3aP53,Braised Egg /古法秘制茶叶蛋
k17YfoTQEuGr8W4EkWwY,Bacon Cheeseburger & Soda
kXEjDmmdskDTZT2eatlS,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
mI4gtv1IKbJWJXwmqTJd,Boneless Chicken thigh (农场鸡腿肉)
n5UxAQu7uTw1KnETfcLr,Bacon Cheeseburger
qRJpj2jgsaE4qsTwA3D0,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
qbgvmijTg1U2OoUzgjlQ,Dragonbowl BOGO -Black tea 原味红茶 
rsLv0Ym2wb3aIoB72M7y,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
rw05GJ62WZzCZjJRKjrR,Bacon Cheeseburger Combo
sAoOjuU6nA8Iu9L5vBWI,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
v0erR3QSO8UT5chvMIsX, Coke Zero (355 mL)
wydIr0ZDR66VPBJDt0Cm,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
wz35HSZ6Pg3BsJdg61Ak,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
xclykevHJw8k3DWMga7n,Dragonbowl BOGO -Lemon black tea 柠檬红茶 
xl2p0MVmf8y0yPcKwYm5,Dragonbowl Drink -7. Lemonade (柠檬水)
xlvBatzRaRWdEibIhesT,Vegan (全素豆制品)
xqugKYYraoF9yKFA3Yr1,Lamb shoulder (草原嫩羊肩肉 ）
zdJ6gOT8ig8seMt1Ay2E,Bowl Of Peri Peri Fries
1ahW966jOCz6P5Zqjt7A,Biryani Rice Bowls
1z3GkxUnZmH6qIBDA4sf,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
2WvdnVhIiNEmvjzTcklL,4. Bean Sprouts / 椒香本地豆芽王
3tI6q23TPi21u10dYstE,Butter Chicken Pack - Serves 6 
3vFJGTBpn8kTnM3fQEWj,Dragonbowl BOGO -Black tea 原味红茶 
5GUEUEQEtDBO5r7ZwtKc,Tandoori Chicken Power Bowl
6aLTZM76mc1WOoYOppXu,Braised Egg /古法秘制茶叶蛋
7Izi9U1iPf5QhnX2XFbh,Lamb shoulder (草原嫩羊肩肉 ）
8591YjPUc2tv5nBs7ILS,Chicken Cafreal 
8sdtdXHHGXOUvQw4K8B3,Poutine 
9d6QaTvoutwICsltpuwu,Boneless Chicken thigh (农场鸡腿肉)
A00GAd5EPsNCY0IQ7u3B,Mac N Cheese × 2
ACEccXE8HixU7UOf6eMc,Dragonbowl Drink -7. Lemonade (柠檬水)
CHxtAhBPJ4v3nw22NbKB,Tacos
CsSAEiT2nOxzRLxIzN1s,Vegan (全素豆制品)
E5z251rXAShwqfokjnqR,Butter Chicken 
GsP1WRX6U2WiQbMnUQDQ,6. Celery Carrot / 传统老北京芹菜
H4oxfbw22BTcjrcvYBM7,Rice Platter - Serves 3
HhUeOk33FCMypUxlEDUD,Chicken Tikka Caesar × 2
Hq2UTr0auup8ioWe2eGf,Rice Bowls 
HuJHUJFHhqI49wLBTXuo,Lamb Kheema Pav
IApQglnMABMtweuibTCe,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
IuwrLQ3hRMv2TqhcpyN6,Dirty Samosa Platter - Serves 3-4
JVhMHC0K8qO4FRHyVIfL,IndiCo School Catering
JcfB4ECqMUxSUIEYXaGx,Butter Chicken Rice Bowl Combo
L4lplRfOg3QvoAsUKLDs,Daily Soup / 是日例汤
LoC61XTicTwVvLYGbq0k,Amritsari Fish & Chips 
M75l20Cqi2mEzHwcv0M5,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
OMYAol0lFrzuAGxKmq1F,Madras Coconut Chicken
PHYp9P7FGfq4xzrX3N87,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
PNEx9WRXiy9YpyK0CFlF,Paneer Butter Masala
QP4oTEd5LJXuQlYjV0eD,Samosa Pav
SYcsX9LRwpeqGkjeOWMZ,Mac n Cheese
UmA2NMWb03pu9mJa1Cht,Chicken Tikka Caesar
VEQSA3sX3fhTzVp0m7QO,Dragonbowl Drink -1. Original black tea (原味红茶)
VlDqhQnZUsXFLEDdgXHk,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
VrqjEQRwvZA5poTagmfa,Jumbo shrimp (南洋黑虎大虾仁)
W3bizQ0aYT5K20oUWKaG,Indi Baos
W8dWpjB2cJI6SnwUlhvq,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
WYd93hBrSK5ALZ4T0K3U,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
Xn36TOvLzneKu6nw826c,Cilantro Cream Paneer
XwC3dylI4TtLryPwnR38,Rice Bowls × 2
YKDkaotXz73bmenoGLNu,Mango Lassi
Ytgdnfb1OtJw61qXKagj,Palak Patta Chaat 
Z0rIGn23YkfL844OKV4T,Pork tenderloin (本地嫩猪里脊)
aD4duyUVutHMBV10vUWr,IND Coke (355 mL)
aTdQjs9wJWOoeyR5dDrx,Kheema Ghotala
dBWGRIhJCkESSOR6PQIL,Basmati Rice
e4VhqG5CN57Lu4CKxn7x,Cilantro Cream Chicken
eqrda3O9dhDKv8JPPFeJ,Dirty Samosas
gG1j8oIdcNoXcmvmDvNi,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
hOtEUpdfjM0ZJCBBGjSD,Vegetable Samosa
iTKihqP9xkCI2nSQPvg7,Dragonbowl Main -8. Pistol chicken legs (秘制手枪鸡腿) 1300 ML only 
iVrZwtG9355Yvraadega,Butter Paneer Rice Bowl Combo
jq8lqY4MzFpu2eaQGuas,Fish Pepper Fry With Malabar Parotta × 2
klm1P3wE54PgoTbDsoH4,Poutine Platter- Serves 3
mkujZRDawHwex1kiQIwh,Sandwich
nPSFb0X57yBVK11MBKYw,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
ps9m0T0jHOTOXb0Ra6Po,Biryani Rice Bowls × 2 
rI4iDET0zruKjJ632Rkh,Vada Bao
rY6SHnVHhDxCz3grKLL6, IND Zero (355 mL)
t579Oi4a10xR3T3xvT3A,IND Diet Coke (355 mL)
thHq8votBbbgOjiMvZrC,Dragonbowl Side -8. Woodear mushroom/酱拌特级云耳
uMLMxteeLjDVsAahWvJD,Dragonbowl BOGO -Lemon black tea 柠檬红茶 
uX6cDSu48HXgouH8p2De,Junior bowl Special Catering 
uurnisMq8eFNIHENZcra,Tandoori Chicken Sandwich 
vSS3ml7e4igx3EcvcnT2,Masala Vada Pav 
wP5hMhzwyT8CnB4AC8EX,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
wUGuQin8l9Jtdqf0T5PC,10. Cabbage / 怪味台湾高丽菜
xZzz7fk5kYBtn3uWNfUG,Fish Pepper Fry With Malabar Parotta
xj8wuxRgNpRTTe1iq3Gj,Dragonbowl Drink -4. Grape black tea (葡萄红茶)
y8tVVconks6sRyvNTQQk,Alberta beef slice (阿尔伯塔雪花牛肉片)
yW2hMmoAcvnu3a5Pwwjp,Butter Paneer Pack- Vegetarian - Serves 6
zqIHiBLISyZIeEYdLUTw,Dragonbowl Side -7.Bean curd / 甜辣扬州干丝
0sguh7CbNlFUhVz2JtzH,Crab 
12wmGR2aerf900H2L5yO,Vegan (全素豆制品)
2LcIaTu6B6liYsHAOixB,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
39QgxhdxoMaUCwrAP9db,White Peach 
3lE1agEgLOTPycnanGyg,Salted Salmon Bento (feeds 1-2)
3x02dCZy3VpZeOrJEeXT,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
42aONAE6kFDKxkeINOym,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
4waxfKrrLbZIDPujhQkG,Bento Box
5yVcbMtG2qIETn6I2dNy,6. Celery Carrot / 传统老北京芹菜
8uiGCv7Wugy0a9y2jIMx,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
BdO6f6PFUrddxUOAfRFv,Scallop
Bxq8NQ0CedgQvpXnUSlI,A5 Wagyu Bento (feeds 1-2)
C43FGJ8WBfxqOsDLbpPs,Lamb shoulder (草原嫩羊肩肉 ）
Ej6qWtm4r2SdTqUrsUNO,Boneless Chicken thigh (农场鸡腿肉)
