,productId,category,productName,price
157,FCXUF3E4ZDAN4AMW4HVFHKBK,Pizzas,Mushroom,1400
158,NO2VZ7X34FRANIUZMDWPSD54,Pizzas,Pepperoni,1400
159,C2O6UAA4CWYIOAVPUDSQSRXC,Pizzas,Hawaiian,1400
160,SUUNN37567I2M2ZL2UXX3VBU,Beverages,Coca cola,350
161,J36ISWNETPBVBFRR3EQNE4GT,Beverages,Dasani Water,350
162,7SQJPNKIWZHLHVY4BEULKM72,Beverages,Vitamin Water Energy,400
163,ZQCYRN6TQYXY57PVVWOIB6FJ,Beverages,Nestea Ice Tea,350
164,RFJTESN2RIXE2DII2QSQ4FUN,Chef Inspired Bowls,The Cali Bowl,1550
165,JGKU5SWRYH5FBBOMLNXIYTX5,Chef Inspired Bowls,The Main Bowl,1750
166,PQ6ZI425AW22JTOAAVJ35D36,Chef Inspired Bowls,The Maui Bowl,1700
167,CJKLP64DXNVFMUKVNC6QCMWJ,Chef Inspired Bowls,The Veggie Bowl,1500
168,RPF2SPFBRSZCMXSHPURXCIEE,Chef Inspired Bowls,The Spicy Gochu Chicken Bowl,1550
169,GMKHWB5UG4TGU2NRPZFTM5GQ,Chef Inspired Bowls,Sweet Shoyu Chicken Bowl,1550
170,XVQUX7NQSKKD7E4IRPTIN2XP,Chef Inspired Bowls,Surf & Turf Bowl,1550
171,GRRTJAH7J37CZTDE3ESUVOGN,Create Your Own,Regular Build Your Own Poke Bowl,1500
172,SE3UAQKZ6KMR3YEYMKDQ6THH,Create Your Own,Large Build Your Own Poke Bowl,1775
173,DOBHMVOELGQLIG4YSYP2R7YR,Sushi,Sushi - 3 Roll Combo,2100
174,F42RBP4POPCLMOKOZU32L2AE,Sushi,Sushi - 2 Roll Combo,1500
175,7QYQUWE6DRHKQ3F43NJQGBP2,Sushi,Tataki Wasabi Tuna Oshi,900
176,YQMGDKGRPTZIHBMJZ3E5ZRKJ,Sushi,Tataki Spicy Salmon Oshi,900
177,WASHMOIVZ3NDOYLOQDGB6OSN,Bao,1-Pack Bao,450
178,FCKSHUDB3IFEGW45LCLSXWFS,Bao,2-Pack Bao,749
179,C7DRKCZQWUYCQ2NJ4CCVOY6Z,Bao,6-Pack Bao,1999
180,V6RLY6PYYBV7EYWTPDULL34P,Bao,3-Pack Bao,1200
181,KW2ZKRTVSONNOYWE5EVCFSVJ,Bowls,Teriyaki Chicken Bowl,1100
182,JT7UBPX4DYQR5RAYZMGNLSKA,Bowls,Spicy Kung Pao Chicken Bowl,1100
183,SWAYSHZ3KW57QVPXKREZZMAB,Bowls,Citrus Glazed Chicken Bowl,1100
184,TINMAXJZRYQLHHIQID5DJYCA,Bundles,The Sharing Bundle,2995
185,V2Q26LYT63QRRWBGB3XT7YYQ,Bundles,The Party Bundle,8395
186,RLTVLS34QTJQEEU4ROTFZ24B,Bundles,The Family Bundle,5995
187,QAD44ZM7IQKB7LNSAOYNFXZJ,Dumplings,Ginger Chicken (8-pieces),899
188,XYDKD63S2DINPQ5Z7IZGP5SE,Dumplings,Ginger Chicken (12-pieces),1499
189,T7ZLSY2MF3FRNM7WUO5CPPMW,Dumplings,Ginger Chicken (5-pieces),699
190,VMAQ42XWPIOASL6UENLUEEZ5,Dumplings,Ginger Chicken (30-pieces),2999
191,LBKGR46EXZUS7KRPM3TBBTEC,Combos,Bowl + 3 Potstickers,1399
192,5FKID6PW2PT4GVRMLRZZDBQV,Combos,The Sampler,1499
193,CFHCKANJKPZPZ7FO5B2O5NVR,Combos,The Signature,1398
194,FBCKBIJMHCE2HA2A3KMKRCBX,Combos,Bowl + 2 Bao,1729
195,6JREVIWJI7MB7ISDQ3YLMBCK,Egg Rolls,Crispy Chicken Egg Rolls (10 pieces),2999
196,QKEIUWGCXPJTSRGES2XMTMZH,Egg Rolls,Crispy Chicken Egg Rolls (2 pieces),699
197,M6OYMJGMSG4VY5VFITLQ5K2Z,Egg Rolls,Crispy Chicken Egg Rolls (3 pieces),1099
198,NY6ASAZ53FYIVL4GMKZHULFY,Beverages,Bottle Water,350
199,ZBLVUK7DWLCXJNMJUY23GUGJ,Beverages,Coca Cola,350
200,IGZUHR5B6IOGB4YYZ3CKQCMV,Beverages,Vitamin Water,400
201,FQMGYCFE2GBOLNHXDINAQSOI,Beverages,Ice tea (Nestea),350
202,EKYNNBN4424NWR7XIHCWROTL,Salads,Zesty Greek Salad - 370 Cal,1199
203,AZDHVQ4S3WY57QXDUM5LL6NL,Salads,Rad Cobb Salad - 410 Cal,1499
204,CI4P2KZPXWZYJDCENNFDTFJ7,Salads,Build Your Own,899
205,KG5NP5CN6N5F5ZXTRO5ZTRRI,Salads,Rad Chicken Caesar Salad - 380 Cal,1399
206,Q7FO2UP5GZCUY3KGNK5KMELN,Salads,Santa Fe Salad - 440 Cal,1299
207,XFJKXHGYFP7GPU54TAYBM4LJ,Salads,Green Goddess Kale Salad - 400 Cal,1299
208,SBNC6SV6PBRJJTH535QG73AZ,Smoothies,Green Powerhouse - 220 Cal,799
209,CNUQ2HDLPBRQ3WBGAGNLQB6W,Smoothies,Berry Burst - 270 Cal,799
210,4KC2TJO52AWSKZQQPFV4Q65H,Smoothies,Tropical Dream - 250 Cal,799
211,PKCJQDVRRWEWZEISEOLP3MRG,Smoothies,Nutty Banana - 310 Cal,799
212,GHWQA4E23NSVENYEHN667MZ3,Beverages,Nestea,350
213,DVIIH6F65UERPYLOKWAX7V7Z,Beverages,Coca Cola,350
214,PCBZ6NMVY4Y4MMSBL4HEPIAB,Beverages,Dasani Water,350
215,JC5YZOK5ALNNK5C57GZQPQTK,Beverages,Diet Coca Cola,350
216,ETZTGOLV7FNK7UZOP32ORZO3,Beverages,Vitamin Waters,400
217,AJ73IPFCK2TWEX7GHPHDOPCK,Sandwiches,Apple wood Smoked Brisket - 520 Cal,1499
218,MWJYJNETMDAZY6SKEBQR4J5G,Sandwiches,Spicy Chipotle Chicken - 450 Cal,1199
219,IZU64W74HJDDV5LGSVN32TAR,Sandwiches,Grilled Cheese - 380 Cal,999
220,I6LBA4FYC7R3XAOLGJEF3MSA,Soup,Soup of The Day,599
221,JFT2DZG3G4YHSWOXAE5HAIZ2,Cheesecake Factory,Dulce de Leche Cheesecake,749
